id,short_desc,long_desc,exits,lit
24,YOU'RE IN EAST PIT.,YOU ARE AT THE BOTTOM OF THE EASTERN PIT IN THE TWOPIT ROOM.  THERE IS A SMALL POOL OF OIL IN ONE CORNER OF THE PIT.,UP:67,FALSE
25,YOU'RE IN WEST PIT.,YOU ARE AT THE BOTTOM OF THE WESTERN PIT IN THE TWOPIT ROOM.  THERE IS A LARGE HOLE IN THE WALL ABOUT 25 FEET ABOVE YOU.,UP:23,FALSE
26,Up the plant,YOU CLAMBER UP THE PLANT AND SCURRY THROUGH THE HOLE AT THE TOP.,,FALSE
27,YOU ARE ON THE WEST SIDE OF THE FISSURE IN THE HALL OF MISTS...,YOU ARE ON THE WEST SIDE OF THE FISSURE IN THE HALL OF MISTS.,NORTH:40|WEST:41,FALSE
28,YOU ARE IN A LOW N/S PASSAGE AT A HOLE IN THE FLOOR.  THE HO...,YOU ARE IN A LOW N/S PASSAGE AT A HOLE IN THE FLOOR.  THE HOLE GOES DOWN TO AN E/W PASSAGE.,DOWN:36|NORTH:33|SOUTH:19,FALSE
29,YOU ARE IN THE SOUTH SIDE CHAMBER....,YOU ARE IN THE SOUTH SIDE CHAMBER.,NORTH:19,FALSE
30,YOU ARE IN THE WEST SIDE CHAMBER OF THE HALL OF THE MOUNTAIN...,YOU ARE IN THE WEST SIDE CHAMBER OF THE HALL OF THE MOUNTAIN KING. A PASSAGE CONTINUES WEST AND UP HERE.,EAST:19|WEST:62,FALSE
32,Blocked by snake,YOU CAN'T GET BY THE SNAKE.,,FALSE
33,"YOU'RE AT ""Y2"".","YOU ARE IN A LARGE ROOM, WITH A PASSAGE TO THE SOUTH, A PASSAGE TO THE WEST, AND A WALL OF BROKEN ROCK TO THE EAST.  THERE IS A LARGE ""Y2"" ON A ROCK IN THE ROOM'S CENTER.",EAST:34|SOUTH:28|WEST:35,FALSE
34,"YOU ARE IN A JUMBLE OF ROCK, WITH CRACKS EVERYWHERE....","YOU ARE IN A JUMBLE OF ROCK, WITH CRACKS EVERYWHERE.",DOWN:33|UP:15,FALSE
35,YOU'RE AT WINDOW ON PIT.,"YOU'RE AT A LOW WINDOW OVERLOOKING A HUGE PIT, WHICH EXTENDS UP OUT OF SIGHT.\n\nA FLOOR IS INDISTINCTLY VISIBLE OVER 50 FEET BELOW.  TRACES OF WHITE MIST COVER THE FLOOR OF THE PIT, BECOMING THICKER TO THE RIGHT. MARKS IN THE DUST AROUND THE WINDOW WOULD SEEM TO INDICATE THAT SOMEONE HAS BEEN HERE RECENTLY.  DIRECTLY ACROSS THE PIT FROM YOU AND 25 FEET AWAY THERE IS A SIMILAR WINDOW LOOKING INTO A LIGHTED ROOM.  A SHADOWY FIGURE CAN BE SEEN THERE PEERING BACK AT YOU.",EAST:33,FALSE
36,YOU'RE IN DIRTY PASSAGE.,YOU ARE IN A DIRTY BROKEN PASSAGE.  TO THE EAST IS A CRAWL.  TO THE WEST IS A LARGE PASSAGE.  ABOVE YOU IS A HOLE TO ANOTHER PASSAGE.,EAST:37|UP:28|WEST:39,FALSE
37,YOU ARE ON THE BRINK OF A SMALL CLEAN CLIMBABLE PIT.  A CRAW...,YOU ARE ON THE BRINK OF A SMALL CLEAN CLIMBABLE PIT.  A CRAWL LEADS WEST.,DOWN:38|WEST:36,FALSE
38,"YOU ARE IN THE BOTTOM OF A SMALL PIT WITH A LITTLE STREAM, W...","YOU ARE IN THE BOTTOM OF A SMALL PIT WITH A LITTLE STREAM, WHICH ENTERS AND EXITS THROUGH TINY SLITS.",UP:37,FALSE
39,YOU'RE IN DUSTY ROCK ROOM.,"YOU ARE IN A LARGE ROOM FULL OF DUSTY ROCKS.  THERE IS A BIG HOLE IN THE FLOOR.  THERE ARE CRACKS EVERYWHERE, AND A PASSAGE LEADING EAST.",DOWN:64|EAST:36,FALSE
40,Low N passage (W),YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH OF THE HALL OF MISTS.,,FALSE
41,YOU'RE AT WEST END OF HALL OF MISTS.,YOU ARE AT THE WEST END OF HALL OF MISTS.  A LOW WIDE CRAWL CONTINUES WEST AND ANOTHER GOES NORTH.  TO THE SOUTH IS A LITTLE PASSAGE 6 FEET OFF THE FLOOR.,EAST:27|NORTH:59|SOUTH:42|WEST:60,FALSE
42,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:43|NORTH:42|SOUTH:45|UP:41|WEST:80,FALSE
43,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:45|SOUTH:44|WEST:42,FALSE
44,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",DOWN:48|EAST:43|NORTH:82|SOUTH:50,FALSE
45,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:46|NORTH:43|SOUTH:47|UP:87|WEST:42,FALSE
46,DEAD END...,DEAD END,WEST:45,FALSE
47,DEAD END...,DEAD END,EAST:45,FALSE
48,DEAD END...,DEAD END,UP:44,FALSE
49,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:50|WEST:51,FALSE
50,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",DOWN:51|EAST:44|SOUTH:52|WEST:49,FALSE
51,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:52|SOUTH:53|UP:50|WEST:49,FALSE
52,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",DOWN:86|EAST:51|NORTH:55|SOUTH:52|UP:53|WEST:50,FALSE
53,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",NORTH:52|SOUTH:54|WEST:51,FALSE
54,DEAD END...,DEAD END,WEST:53,FALSE
55,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",DOWN:56|EAST:57|NORTH:55|WEST:52,FALSE
56,DEAD END...,DEAD END,UP:55,FALSE
57,YOU'RE AT BRINK OF PIT.,YOU ARE ON THE BRINK OF A THIRTY FOOT PIT WITH A MASSIVE ORANGE COLUMN DOWN ONE WALL.\n\nYOU COULD CLIMB DOWN HERE BUT YOU COULD NOT GET BACK UP.  THE MAZE CONTINUES AT THIS LEVEL.,DOWN:13|EAST:84|NORTH:83|SOUTH:58|WEST:55,FALSE
58,DEAD END...,DEAD END,EAST:57,FALSE
59,Low N passage (E),YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH OF THE HALL OF MISTS.,,FALSE
60,YOU'RE AT EAST END OF LONG HALL.,YOU ARE AT THE EAST END OF A VERY LONG HALL APPARENTLY WITHOUT SIDE CHAMBERS.  TO THE EAST A LOW WIDE CRAWL SLANTS UP.  TO THE NORTH A ROUND TWO FOOT HOLE SLANTS DOWN.,EAST:41|NORTH:62|WEST:61,FALSE
61,YOU'RE AT WEST END OF LONG HALL.,YOU ARE AT THE WEST END OF A VERY LONG FEATURELESS HALL.  THE HALL JOINS UP WITH A NARROW NORTH/SOUTH PASSAGE.,EAST:60|NORTH:62,FALSE
62,YOU ARE AT A CROSSOVER OF A HIGH N/S PASSAGE AND A LOW E/W O...,YOU ARE AT A CROSSOVER OF A HIGH N/S PASSAGE AND A LOW E/W ONE.,EAST:30|NORTH:63|SOUTH:61|WEST:60,FALSE
63,DEAD END...,DEAD END,SOUTH:62,FALSE
64,YOU'RE AT COMPLEX JUNCTION.,YOU ARE AT A COMPLEX JUNCTION.\n\nA LOW HANDS AND KNEES PASSAGE FROM THE NORTH JOINS A HIGHER CRAWL FROM THE EAST TO MAKE A WALKING PASSAGE GOING WEST.  THERE IS ALSO A LARGE ROOM ABOVE.\n\nTHE AIR IS DAMP HERE.,EAST:106|NORTH:103|UP:39|WEST:65,FALSE
65,"YOU ARE IN BEDQUILT, A LONG EAST/WEST PASSAGE WITH HOLES EVE...","YOU ARE IN BEDQUILT, A LONG EAST/WEST PASSAGE WITH HOLES EVERYWHERE. TO EXPLORE AT RANDOM SELECT NORTH, SOUTH, UP, OR DOWN.",DOWN:106|EAST:64|NORTH:71|UP:39|WEST:66,FALSE
66,YOU'RE IN SWISS CHEESE ROOM.,"YOU ARE IN A ROOM WHOSE WALLS RESEMBLE SWISS CHEESE.  OBVIOUS PASSAGES GO WEST, EAST, NE, AND NW.  PART OF THE ROOM IS OCCUPIED BY A LARGE BEDROCK BLOCK.",EAST:96|NE:65|WEST:67,FALSE
67,YOU'RE AT EAST END OF TWOPIT ROOM.,"YOU ARE AT THE EAST END OF THE TWOPIT ROOM.  THE FLOOR HERE IS LITTERED WITH THIN ROCK SLABS, WHICH MAKE IT EASY TO DESCEND THE PITS. THERE IS A PATH HERE BYPASSING THE PITS TO CONNECT PASSAGES FROM EAST AND WEST.  THERE ARE HOLES ALL OVER, BUT THE ONLY BIG ONE IS ON THE WALL DIRECTLY OVER THE WEST PIT WHERE YOU CAN'T GET TO IT.",DOWN:24|EAST:66|WEST:23,FALSE
68,YOU'RE IN SLAB ROOM.,"YOU ARE IN A LARGE LOW CIRCULAR CHAMBER WHOSE FLOOR IS AN IMMENSE SLAB FALLEN FROM THE CEILING (SLAB ROOM).  EAST AND WEST THERE ONCE WERE LARGE PASSAGES, BUT THEY ARE NOW FILLED WITH BOULDERS.\n\nLOW SMALL PASSAGES GO NORTH AND SOUTH, AND THE SOUTH ONE QUICKLY BENDS WEST AROUND THE BOULDERS.",NORTH:65|SOUTH:23|UP:69,FALSE
69,YOU ARE IN A SECRET N/S CANYON ABOVE A LARGE ROOM....,YOU ARE IN A SECRET N/S CANYON ABOVE A LARGE ROOM.,DOWN:68|NORTH:109|SOUTH:119,FALSE
70,YOU ARE IN A SECRET N/S CANYON ABOVE A SIZABLE PASSAGE....,YOU ARE IN A SECRET N/S CANYON ABOVE A SIZABLE PASSAGE.,DOWN:65|NORTH:71|SOUTH:111,FALSE
71,YOU'RE AT JUNCTION OF THREE SECRET CANYONS.,"YOU ARE IN A SECRET CANYON AT A JUNCTION OF THREE CANYONS, BEARING NORTH, SOUTH, AND SE.  THE NORTH ONE IS AS TALL AS THE OTHER TWO COMBINED.",NORTH:110|SE:65|SOUTH:70,FALSE
72,"YOU ARE IN A LARGE LOW ROOM.  CRAWLS LEAD NORTH, SE, AND SW....","YOU ARE IN A LARGE LOW ROOM.  CRAWLS LEAD NORTH, SE, AND SW.",NORTH:73|SE:97|SW:118,FALSE
73,DEAD END CRAWL....,DEAD END CRAWL.,SOUTH:72,FALSE
74,YOU'RE IN SECRET E/W CANYON ABOVE TIGHT CANYON.,YOU ARE IN A SECRET CANYON WHICH HERE RUNS E/W.  IT CROSSES OVER A VERY TIGHT CANYON 15 FEET BELOW.  IF YOU GO DOWN YOU MAY NOT BE ABLE TO GET BACK UP.,DOWN:75|EAST:19|WEST:121,FALSE
75,YOU ARE AT A WIDE PLACE IN A VERY TIGHT N/S CANYON....,YOU ARE AT A WIDE PLACE IN A VERY TIGHT N/S CANYON.,NORTH:77|SOUTH:76,FALSE
76,THE CANYON HERE BECOMES TOO TIGHT TO GO FURTHER SOUTH....,THE CANYON HERE BECOMES TOO TIGHT TO GO FURTHER SOUTH.,NORTH:75,FALSE
77,YOU ARE IN A TALL E/W CANYON.  A LOW TIGHT CRAWL GOES 3 FEET...,YOU ARE IN A TALL E/W CANYON.  A LOW TIGHT CRAWL GOES 3 FEET NORTH AND SEEMS TO OPEN UP.,EAST:75|NORTH:66|WEST:78,FALSE
78,THE CANYON RUNS INTO A MASS OF BOULDERS -- DEAD END....,THE CANYON RUNS INTO A MASS OF BOULDERS -- DEAD END.,SOUTH:77,FALSE
79,Stream exit,THE STREAM FLOWS OUT THROUGH A PAIR OF 1 FOOT DIAMETER SEWER PIPES. IT WOULD BE ADVISABLE TO USE THE EXIT.,,FALSE
80,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:81|NORTH:42|SOUTH:80|WEST:80,FALSE
81,DEAD END...,DEAD END,WEST:80,FALSE
82,DEAD END...,DEAD END,SOUTH:44,FALSE
83,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",EAST:84|SOUTH:57|WEST:85,FALSE
84,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",NORTH:57|NW:114|WEST:83,FALSE
85,DEAD END...,DEAD END,EAST:83,FALSE
86,DEAD END...,DEAD END,UP:52,FALSE
87,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.",UP:45,FALSE
88,YOU'RE IN NARROW CORRIDOR.,"YOU ARE IN A LONG, NARROW CORRIDOR STRETCHING OUT OF SIGHT TO THE WEST.  AT THE EASTERN END IS A HOLE THROUGH WHICH YOU CAN SEE A PROFUSION OF LEAVES.",EAST:25|WEST:92,FALSE
91,YOU'RE AT STEEP INCLINE ABOVE LARGE ROOM.,"YOU ARE AT THE TOP OF A STEEP INCLINE ABOVE A LARGE ROOM.  YOU COULD CLIMB DOWN HERE, BUT YOU WOULD NOT BE ABLE TO CLIMB UP.  THERE IS A PASSAGE LEADING BACK TO THE NORTH.",DOWN:72|NORTH:95,FALSE
92,YOU'RE IN GIANT ROOM.,"YOU ARE IN THE GIANT ROOM.  THE CEILING HERE IS TOO HIGH UP FOR YOUR LAMP TO SHOW IT.  CAVERNOUS PASSAGES LEAD EAST, NORTH, AND SOUTH.  ON THE WEST WALL IS SCRAWLED THE INSCRIPTION, ""FEE FIE FOE FOO"" [SIC].",EAST:93|NORTH:94|SOUTH:88,FALSE
93,THE PASSAGE HERE IS BLOCKED BY A RECENT CAVE-IN....,THE PASSAGE HERE IS BLOCKED BY A RECENT CAVE-IN.,SOUTH:92,FALSE
94,YOU ARE AT ONE END OF AN IMMENSE NORTH/SOUTH PASSAGE....,YOU ARE AT ONE END OF AN IMMENSE NORTH/SOUTH PASSAGE.,SOUTH:92,FALSE
95,YOU'RE IN CAVERN WITH WATERFALL.,"YOU ARE IN A MAGNIFICENT CAVERN WITH A RUSHING STREAM, WHICH CASCADES OVER A SPARKLING WATERFALL INTO A ROARING WHIRLPOOL WHICH DISAPPEARS THROUGH A HOLE IN THE FLOOR.  PASSAGES EXIT TO THE SOUTH AND WEST.",SOUTH:94|WEST:91,FALSE
96,YOU'RE IN SOFT ROOM.,"YOU ARE IN THE SOFT ROOM.  THE WALLS ARE COVERED WITH HEAVY CURTAINS, THE FLOOR WITH A THICK PILE CARPET.  MOSS COVERS THE CEILING.",WEST:66,FALSE
97,YOU'RE IN ORIENTAL ROOM.,"THIS IS THE ORIENTAL ROOM.  ANCIENT ORIENTAL CAVE DRAWINGS COVER THE WALLS.\n\nA GENTLY SLOPING PASSAGE LEADS UPWARD TO THE NORTH, ANOTHER PASSAGE LEADS SE, AND A HANDS AND KNEES CRAWL LEADS WEST.",NORTH:98|SE:66|WEST:72,FALSE
98,YOU'RE IN MISTY CAVERN.,"YOU ARE FOLLOWING A WIDE PATH AROUND THE OUTER EDGE OF A LARGE CAVERN. FAR BELOW, THROUGH A HEAVY WHITE MIST, STRANGE SPLASHING NOISES CAN BE HEARD.\n\nTHE MIST RISES UP THROUGH A FISSURE IN THE CEILING.  THE PATH EXITS TO THE SOUTH AND WEST.",SOUTH:97|WEST:99,FALSE
99,YOU'RE IN ALCOVE.,YOU ARE IN AN ALCOVE.  A SMALL NW PATH SEEMS TO WIDEN AFTER A SHORT DISTANCE.  AN EXTREMELY TIGHT TUNNEL LEADS EAST.  IT LOOKS LIKE A VERY TIGHT SQUEEZE.\n\nAN EERIE LIGHT CAN BE SEEN AT THE OTHER END.,EAST:301|NW:98,FALSE
100,YOU'RE IN PLOVER ROOM.,YOU'RE IN A SMALL CHAMBER LIT BY AN EERIE GREEN LIGHT.\n\nAN EXTREMELY NARROW TUNNEL EXITS TO THE WEST.  A DARK CORRIDOR LEADS NE.,NE:101|WEST:301,TRUE
101,YOU'RE IN DARK-ROOM.,YOU'RE IN THE DARK-ROOM.  A CORRIDOR LEADING SOUTH IS THE ONLY EXIT.,SOUTH:100,FALSE
102,YOU'RE IN ARCHED HALL.,"YOU ARE IN AN ARCHED HALL.  A CORAL PASSAGE ONCE CONTINUED UP AND EAST FROM HERE, BUT IS NOW BLOCKED BY DEBRIS.  THE AIR SMELLS OF SEA WATER.",DOWN:103,FALSE
103,YOU'RE IN SHELL ROOM.,"YOU'RE IN A LARGE ROOM CARVED OUT OF SEDIMENTARY ROCK.\n\nTHE FLOOR AND WALLS ARE LITTERED WITH BITS OF SHELLS IMBEDDED IN THE STONE.  A SHALLOW PASSAGE PROCEEDS DOWNWARD, AND A SOMEWHAT STEEPER ONE LEADS UP.  A LOW HANDS AND KNEES PASSAGE ENTERS FROM THE SOUTH.",DOWN:104|SOUTH:64|UP:102,FALSE
104,YOU ARE IN A LONG SLOPING CORRIDOR WITH RAGGED SHARP WALLS....,YOU ARE IN A LONG SLOPING CORRIDOR WITH RAGGED SHARP WALLS.,DOWN:105|UP:103,FALSE
105,YOU ARE IN A CUL-DE-SAC ABOUT EIGHT FEET ACROSS....,YOU ARE IN A CUL-DE-SAC ABOUT EIGHT FEET ACROSS.,UP:104,FALSE
106,YOU'RE IN ANTEROOM.,"YOU ARE IN AN ANTEROOM LEADING TO A LARGE PASSAGE TO THE EAST.\n\nSMALL PASSAGES GO WEST AND UP.  THE REMNANTS OF RECENT DIGGING ARE EVIDENT. A SIGN IN MIDAIR HERE SAYS ""CAVE UNDER CONSTRUCTION BEYOND THIS POINT. PROCEED AT OWN RISK.  [WITT CONSTRUCTION COMPANY]""",EAST:108|UP:64|WEST:65,FALSE
107,"YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL DIFFERENT....","YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL DIFFERENT.",DOWN:61|EAST:137|NE:133|NORTH:139|NW:136|SE:134|SOUTH:131|SW:132|UP:135|WEST:138,FALSE
108,YOU'RE AT WITT'S END.,YOU ARE AT WITT'S END.\n\nPASSAGES LEAD OFF IN *ALL* DIRECTIONS.,EAST:106,FALSE
109,YOU'RE IN MIRROR CANYON.,"YOU ARE IN A NORTH/SOUTH CANYON ABOUT 25 FEET ACROSS.  THE FLOOR IS COVERED BY WHITE MIST SEEPING IN FROM THE NORTH.  THE WALLS EXTEND UPWARD FOR WELL OVER 100 FEET.\n\nSUSPENDED FROM SOME UNSEEN POINT FAR ABOVE YOU, AN ENORMOUS TWO-SIDED MIRROR IS HANGING PARALLEL TO AND MIDWAY BETWEEN THE CANYON WALLS.  (THE MIRROR IS OBVIOUSLY PROVIDED FOR THE USE OF THE DWARVES, WHO AS YOU KNOW, ARE EXTREMELY VAIN.)  A SMALL WINDOW CAN BE SEEN IN EITHER WALL, SOME FIFTY FEET UP.",NORTH:113|SOUTH:69,FALSE
110,YOU'RE AT WINDOW ON PIT.,"YOU'RE AT A LOW WINDOW OVERLOOKING A HUGE PIT, WHICH EXTENDS UP OUT OF SIGHT.\n\nA FLOOR IS INDISTINCTLY VISIBLE OVER 50 FEET BELOW.  TRACES OF WHITE MIST COVER THE FLOOR OF THE PIT, BECOMING THICKER TO THE LEFT. MARKS IN THE DUST AROUND THE WINDOW WOULD SEEM TO INDICATE THAT SOMEONE HAS BEEN HERE RECENTLY.  DIRECTLY ACROSS THE PIT FROM YOU AND 25 FEET AWAY THERE IS A SIMILAR WINDOW LOOKING INTO A LIGHTED ROOM.  A SHADOWY FIGURE CAN BE SEEN THERE PEERING BACK AT YOU.",WEST:71,FALSE
111,YOU'RE AT TOP OF STALACTITE.,"A LARGE STALACTITE EXTENDS FROM THE ROOF AND ALMOST REACHES THE FLOOR BELOW.\n\nYOU COULD CLIMB DOWN IT, AND JUMP FROM IT TO THE FLOOR, BUT HAVING DONE SO YOU WOULD BE UNABLE TO REACH IT TO CLIMB BACK UP.",DOWN:45|NORTH:70,FALSE
112,"YOU ARE IN A LITTLE MAZE OF TWISTING PASSAGES, ALL DIFFERENT...","YOU ARE IN A LITTLE MAZE OF TWISTING PASSAGES, ALL DIFFERENT.",DOWN:138|EAST:133|NE:136|NORTH:132|NW:134|SE:135|SOUTH:140|SW:131|UP:139|WEST:137,FALSE
113,YOU'RE AT RESERVOIR.,"YOU ARE AT THE EDGE OF A LARGE UNDERGROUND RESERVOIR.  AN OPAQUE CLOUD OF WHITE MIST FILLS THE ROOM AND RISES RAPIDLY UPWARD.\n\nTHE LAKE IS FED BY A STREAM, WHICH TUMBLES OUT OF A HOLE IN THE WALL ABOUT 10 FEET OVERHEAD AND SPLASHES NOISILY INTO THE WATER SOMEWHERE WITHIN THE MIST.  THE ONLY PASSAGE GOES BACK TOWARD THE SOUTH.",SOUTH:109,FALSE
114,DEAD END...,DEAD END,SE:84,FALSE
